company_name,cin,financial_year,sector,revenue,pat,interest_expense,tax_expense,total_equity,total_borrowings,total_assets,cfo,depreciation,ebitda,current_assets,current_liabilities,cash_and_equivalents,inventory,receivables,retained_earnings,cfi,cff,net_cash_change,capex,going_concern_uncertainty,emphasis_of_matter,fraud_reported,related_party_transactions_amount,contingent_liabilities_amount,rpt_count,pending_legal_cases_count,promoter_holding_pct,cohort,opinion_type,auditor_name
ITC Limited,L16005WB1910PLC001985,2016,FMCG / Foods,36583.0,9328.0,72.0,14434.0,41657.0,42.0,50031.0,9212.0,1001.0,15507.0,,,,,,40852.0,-3711.0,-5465.0,36.0,,,,,,,,,,non_defaulter,,
ITC Limited,L16005WB1910PLC001985,2017,FMCG / Foods,40080.0,10201.0,45.0,15503.0,45341.0,26.0,54216.0,10002.0,1038.0,16586.0,,,,,,44126.0,-2780.0,-7138.0,84.0,,,,,,,,,,non_defaulter,,
ITC Limited,L16005WB1910PLC001985,2018,FMCG / Foods,40620.0,11223.0,110.0,16852.0,51400.0,18.0,62381.0,12651.0,1145.0,18107.0,,,,,,50180.0,-6691.0,-6020.0,-60.0,,,,,,,,,,non_defaulter,,
