company_name,cin,financial_year,sector,revenue,pat,interest_expense,tax_expense,total_equity,total_borrowings,total_assets,cfo,depreciation,ebitda,current_assets,current_liabilities,cash_and_equivalents,inventory,receivables,retained_earnings,cfi,cff,net_cash_change,capex,going_concern_uncertainty,emphasis_of_matter,fraud_reported,related_party_transactions_amount,contingent_liabilities_amount,rpt_count,pending_legal_cases_count,promoter_holding_pct,cohort,opinion_type,auditor_name
Jindal Steel & Power Limited,L27105HR1979PLC009913,2015,Steel & Metals,13390.0,-311.0,2251.0,325.89,12511.0,28313.0,46170.0,1449.0,1786.0,3398.0,,,,,,12420.0,-3147.0,1236.0,-462.0,,,,,,,,,,non_defaulter,,
Jindal Steel & Power Limited,L27105HR1979PLC009913,2016,Steel & Metals,13770.0,-1419.0,2646.0,908.7,23065.0,25742.0,60597.0,4422.0,2148.0,2464.0,,,,,,22974.0,862.0,-5231.0,53.0,,,,,,,,,,non_defaulter,,
Jindal Steel & Power Limited,L27105HR1979PLC009913,2017,Steel & Metals,14449.0,-986.0,2324.0,466.24,21767.0,25326.0,60094.0,4064.0,2044.0,2911.0,,,,,,21675.0,-1111.0,-3138.0,-185.0,,,,,,,,,,non_defaulter,,
