model_name,threshold,roc_auc,pr_auc,accuracy,precision,recall,f1,balanced_accuracy,brier_score,confusion_matrix,fold,rows,companies
logistic_regression,0.6899999999999997,0.9133333333333333,0.9304150795959849,0.8166666666666667,0.9130434782608695,0.7,0.7924528301886793,0.8166666666666667,0.14047937292582963,"[[28, 2], [9, 21]]",1,60,20
logistic_regression,0.38999999999999985,0.8411111111111111,0.8749968156615062,0.8,0.78125,0.8333333333333334,0.8064516129032258,0.8,0.1710814065687907,"[[23, 7], [5, 25]]",2,60,20
logistic_regression,0.6999999999999997,0.9755555555555555,0.9778925430575411,0.7333333333333333,1.0,0.4666666666666667,0.6363636363636364,0.7333333333333334,0.11365387193649945,"[[30, 0], [16, 14]]",3,60,20
logistic_regression,0.4899999999999998,0.8788888888888889,0.9001933959507457,0.75,0.6923076923076923,0.9,0.782608695652174,0.75,0.1674681908081066,"[[18, 12], [3, 27]]",4,60,20
logistic_regression,0.4199999999999998,0.8777777777777779,0.9049661879316651,0.8166666666666667,0.8064516129032258,0.8333333333333334,0.819672131147541,0.8166666666666667,0.20890471160243487,"[[24, 6], [5, 25]]",5,60,20
random_forest,0.5999999999999998,0.8922222222222222,0.9191039112815852,0.85,0.92,0.7666666666666667,0.8363636363636363,0.8500000000000001,0.15141996864367663,"[[28, 2], [7, 23]]",1,60,20
random_forest,0.44999999999999984,0.8633333333333334,0.8994053706758448,0.7166666666666667,0.6756756756756757,0.8333333333333334,0.746268656716418,0.7166666666666667,0.1808204367344339,"[[18, 12], [5, 25]]",2,60,20
random_forest,0.5099999999999998,0.9477777777777778,0.9329866235120672,0.85,0.92,0.7666666666666667,0.8363636363636363,0.8500000000000001,0.14320661724412903,"[[28, 2], [7, 23]]",3,60,20
random_forest,0.5499999999999998,0.9088888888888889,0.9152716362883708,0.8333333333333334,0.8125,0.8666666666666667,0.8387096774193549,0.8333333333333334,0.14722796297938867,"[[24, 6], [4, 26]]",4,60,20
random_forest,0.4699999999999998,0.9077777777777778,0.9186843365239367,0.85,0.8387096774193549,0.8666666666666667,0.8524590163934426,0.8500000000000001,0.17343631062182321,"[[25, 5], [4, 26]]",5,60,20
hist_gradient_boosting,0.7199999999999998,0.8877777777777778,0.9095898763541559,0.7833333333333333,0.8695652173913043,0.6666666666666666,0.7547169811320755,0.7833333333333333,0.18578094273233503,"[[27, 3], [10, 20]]",1,60,20
hist_gradient_boosting,0.3699999999999999,0.8855555555555555,0.9183230400473325,0.7666666666666667,0.7352941176470589,0.8333333333333334,0.78125,0.7666666666666666,0.1666852105102468,"[[21, 9], [5, 25]]",2,60,20
hist_gradient_boosting,0.5399999999999998,0.9433333333333332,0.9457410087140162,0.8166666666666667,0.9130434782608695,0.7,0.7924528301886793,0.8166666666666667,0.13255558676007653,"[[28, 2], [9, 21]]",3,60,20
hist_gradient_boosting,0.6599999999999997,0.9011111111111111,0.9091304188960739,0.8,0.7368421052631579,0.9333333333333333,0.8235294117647058,0.8,0.16149209076840604,"[[20, 10], [2, 28]]",4,60,20
hist_gradient_boosting,0.5399999999999998,0.9188888888888889,0.9275557747349542,0.8166666666666667,0.8518518518518519,0.7666666666666667,0.8070175438596491,0.8166666666666667,0.19457471608745117,"[[26, 4], [7, 23]]",5,60,20
extra_trees,0.5499999999999998,0.9244444444444444,0.945846976384735,0.85,0.8888888888888888,0.8,0.8421052631578947,0.8500000000000001,0.13892179187011167,"[[27, 3], [6, 24]]",1,60,20
extra_trees,0.43999999999999984,0.88,0.9125051551995714,0.7,0.6578947368421053,0.8333333333333334,0.7352941176470589,0.7,0.18018438164003847,"[[17, 13], [5, 25]]",2,60,20
extra_trees,0.6899999999999997,0.9277777777777778,0.9226946327476478,0.65,1.0,0.3,0.46153846153846156,0.65,0.14909896180332202,"[[30, 0], [21, 9]]",3,60,20
extra_trees,0.4799999999999998,0.9166666666666666,0.9221389133720107,0.7666666666666667,0.7,0.9333333333333333,0.8,0.7666666666666666,0.1536596953707461,"[[18, 12], [2, 28]]",4,60,20
extra_trees,0.5199999999999998,0.9299999999999999,0.928819469777701,0.8,0.875,0.7,0.7777777777777778,0.8,0.16760806917243917,"[[27, 3], [9, 21]]",5,60,20
