company_name,cin,financial_year,cohort,sector,target_wilful_default,revenue,pat,interest_expense,depreciation,tax_expense,ebitda,total_equity,total_borrowings,current_assets,current_liabilities,total_assets,cash_and_equivalents,inventory,receivables,retained_earnings,cfo,cfi,cff,net_cash_change,incorporation_year,company_age,ebit,working_capital,total_liabilities_proxy,capex_effective,free_cash_flow,current_ratio,quick_ratio,cash_ratio,debt_to_equity,debt_to_assets,interest_coverage,debt_service_coverage_proxy,net_profit_margin,ebitda_margin,roa,roe,asset_turnover,receivables_turnover,cfo_margin,cash_flow_to_debt,working_capital_to_assets,retained_earnings_to_assets,ebit_to_assets,equity_ratio,current_liabilities_to_assets,contingent_to_networth_ratio,auditor_qualification_flag,opinion_present_flag,auditor_name_present_flag,going_concern_uncertainty_unknown,emphasis_of_matter_unknown,fraud_reported_unknown,going_concern_uncertainty_flag,emphasis_of_matter_flag,fraud_reported_flag,related_party_unknown,related_party_flag,contingent_liability_unknown,contingent_liability_flag,current_assets_missing,current_liabilities_missing,receivables_missing,capex_missing,opinion_type_missing,auditor_name_missing,contingent_liabilities_amount_missing,promoter_holding_pct_missing,altman_z_proxy,revenue_yoy,pat_yoy,ebitda_yoy,total_borrowings_yoy,cfo_yoy,current_ratio_yoy,debt_to_equity_yoy,net_profit_margin_yoy,roa_yoy,auditor_changed_yoy,relative_year_from_latest,is_latest_observation,revenue_trend_3y,revenue_volatility_3y,pat_trend_3y,pat_volatility_3y,ebitda_trend_3y,ebitda_volatility_3y,total_borrowings_trend_3y,total_borrowings_volatility_3y,cfo_trend_3y,cfo_volatility_3y,current_ratio_trend_3y,current_ratio_volatility_3y,debt_to_equity_trend_3y,debt_to_equity_volatility_3y,net_profit_margin_trend_3y,net_profit_margin_volatility_3y,roa_trend_3y,roa_volatility_3y,auditor_changed_3y
ABB India Limited,L32202KA1949PLC032923,2015,non_defaulter,Engineering / Manufacturing,0,8136.0,300.0,106.0,160.0,475.0,741.0,3008.0,600.0,,,7409.0,,,,2966.0,382.0,-76.0,42.0,347.0,1949.0,66.0,881.0,,4401.0,76.0,306.0,,,,0.1994680851063829,0.0809825887434201,8.31132075471698,3.60377358490566,0.0368731563421828,0.0910766961651917,0.04049129437171,0.0997340425531914,1.0981239033607777,,0.0469518190757128,0.6366666666666667,,0.4003239303549736,0.1189094344715886,0.4059927115670131,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,2.4610671558375685,,,,,,,,,,0.0,-2,0,-1021.0,1101.4184793559016,60.0,49.43233309844433,-25.0,58.368560791652975,4.0,3.7712361663282534,205.0,212.00157232121336,,,-0.0154534769862383,0.0126354997262416,0.0160235465417408,0.0138467841861559,0.0033817155504185,0.0034830035765301,0.0
ABB India Limited,L32202KA1949PLC032923,2016,non_defaulter,Engineering / Manufacturing,0,8642.0,374.0,108.0,151.0,573.0,832.0,3286.0,600.0,,,7731.0,,,,3244.0,863.0,-68.0,-179.0,615.0,1949.0,67.0,1055.0,,4445.0,68.0,795.0,,,,0.1825928180158247,0.0776096235933255,9.76851851851852,7.9907407407407405,0.0432770192085165,0.0962740106456838,0.0483766653731729,0.1138161898965307,1.1178372784891992,,0.0998611432538764,1.4383333333333332,,0.4196093648945803,0.1364635881515974,0.425042038546113,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,2.599174785922423,0.0621927236971484,0.2466666666666666,0.1228070175438596,0.0,1.2591623036649215,,-0.0168752670905582,0.0064038628663336,0.0078853710014628,0.0,-1,0,-1021.0,1101.4184793559016,60.0,49.43233309844433,-25.0,58.368560791652975,4.0,3.7712361663282534,205.0,212.00157232121336,,,-0.0154534769862383,0.0126354997262416,0.0160235465417408,0.0138467841861559,0.0033817155504185,0.0034830035765301,0.0
ABB India Limited,L32202KA1949PLC032923,2017,non_defaulter,Engineering / Manufacturing,0,6094.0,420.0,62.0,101.0,528.0,691.0,3607.0,608.0,,,8888.0,,,,3565.0,792.0,-318.0,-171.0,302.0,1949.0,68.0,1010.0,,5281.0,318.0,474.0,,,,0.1685611311339063,0.0684068406840684,16.29032258064516,12.774193548387096,0.0689202494256645,0.1133902198884148,0.0472547254725472,0.1164402550596063,0.6856435643564357,,0.1299638989169675,1.3026315789473684,,0.4011026102610261,0.1136363636363636,0.4058280828082808,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,2.0319959670649888,-0.2948391576024068,0.1229946524064171,-0.1694711538461538,0.0133333333333333,-0.082271147161066,,-0.0140316868819184,0.025643230217148,-0.0011219399006256,0.0,0,1,-1021.0,1101.4184793559016,60.0,49.43233309844433,-25.0,58.368560791652975,4.0,3.7712361663282534,205.0,212.00157232121336,,,-0.0154534769862383,0.0126354997262416,0.0160235465417408,0.0138467841861559,0.0033817155504185,0.0034830035765301,0.0
ABG Shipyard Ltd,L61200GJ1985PLC007730,2014,defaulter,Shipbuilding,1,1468.87,-199.3,608.93,91.78,-96.87,4.54,1369.85,4877.53,8677.67,7482.45,12187.84,182.55,4351.24,129.93,1277.94,-232.48,-330.64,720.12,157.0,1985.0,29.0,312.75999999999993,1195.2200000000005,10817.99,330.64,-563.12,1.159736449959572,0.5782103455419014,0.0243970891887015,3.560630725991897,0.4001964252894688,0.5136222554316587,-0.3817844415614274,-0.1356825314697693,0.0030908113039275,-0.016352364323785,-0.1454903821586305,0.1205193044870953,11.305087354729467,-0.158271324215213,-0.0476634690099292,0.0980665975267151,0.1048536902355134,0.0256616430803161,0.1123948131908525,0.6139274883818625,1.1319779537905612,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.5456540311048945,,,,,,,,,,0.0,-2,0,-717.3499999999999,610.569022688399,-1752.7050000000002,1514.9245294073237,-1394.495,1252.574153555611,1926.57,1575.5894215816506,-224.175,272.83703882639463,-0.1287275514778166,0.153649568856379,4.681269383668155,2.3406346918340777,-54.14213824845885,50.53705472547907,-0.1588192425715925,0.1383867590951728,0.0
ABG Shipyard Ltd,L61200GJ1985PLC007730,2015,defaulter,Shipbuilding,1,385.73,-897.7,804.78,99.18,-288.19,-282.53,802.48,6613.96,9097.64,7170.51,12354.59,50.85,4950.41,79.53,453.03,-885.86,-445.81,1187.51,-144.16,1985.0,30.0,-381.11000000000007,1927.1299999999992,11552.11,445.81,-1331.67,1.2687577313189715,0.5783730864331825,0.00709154578963,8.241900109660053,0.5353443537988715,-0.4735579910037527,-1.1007480305176571,-2.327275555440334,-0.7324553444118942,-0.0726612538335954,-1.1186571627953346,0.0312215945652587,4.850119451779203,-2.2965805096829386,-0.133937913141295,0.1559849416289815,0.0366689627094059,-0.0308476444786917,0.0649539968546103,0.5803923885778484,2.4943300767620378,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.2096225040547794,-0.7373967743911987,-3.504264927245359,-63.231277533039645,0.3560060112392954,-2.8104783207157604,0.1090212813593993,4.681269383668155,-2.1915930239705648,-0.0563088895098104,0.0,-1,0,-717.3499999999999,610.569022688399,-1752.7050000000002,1514.9245294073237,-1394.495,1252.574153555611,1926.57,1575.5894215816506,-224.175,272.83703882639463,-0.1287275514778166,0.153649568856379,4.681269383668155,2.3406346918340777,-54.14213824845885,50.53705472547907,-0.1588192425715925,0.1383867590951728,0.0
ABG Shipyard Ltd,L61200GJ1985PLC007730,2016,defaulter,Shipbuilding,1,34.17,-3704.71,857.13,81.51,-19.38,-2784.45,-2822.21,8730.67,8019.63,8888.17,11092.25,94.72,5007.53,81.99,-3246.61,-680.83,-374.27,1074.45,19.34,1985.0,31.0,-2866.96,-868.54,13914.46,374.27,-1055.1,0.9022813470039388,0.338888657620185,0.010656861873704,,0.7870963961324348,-3.344836839219255,-0.7943135813703873,-108.41995902838748,-81.48814749780509,-0.3339908494669701,,0.0030805291983141,0.4167581412367362,-19.924787825577994,-0.0779814149429539,-0.0783015168248101,-0.2926917442358403,-0.2584651445829295,-0.2544307962766797,0.8012954991097387,,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,-1.4752801261807469,-0.9114147201410312,-3.126890943522335,-8.855413584398118,0.320036710231087,0.231447407039487,-0.3664763843150326,,-106.09268347294712,-0.2613295956333747,0.0,0,1,-717.3499999999999,610.569022688399,-1752.7050000000002,1514.9245294073237,-1394.495,1252.574153555611,1926.57,1575.5894215816506,-224.175,272.83703882639463,-0.1287275514778166,0.153649568856379,4.681269383668155,2.3406346918340777,-54.14213824845885,50.53705472547907,-0.1588192425715925,0.1383867590951728,0.0
Alok Industries Ltd,L17110DN1986PLC000334,2013,defaulter,Textiles,1,19917.75,920.16,2260.66,1360.77,479.74,5021.33,5088.12,13726.18,13226.63,9699.61,24731.69,882.65,5726.47,5025.96,3710.99,,,,,1986.0,27.0,3660.559999999999,3527.0199999999986,19643.57,,,1.3636249292497329,0.7732434603040739,0.0909985040635654,2.6976918783362027,0.5550037219454069,1.61924393761114,,0.0461979892307113,0.2521032747172748,0.0372057065247057,0.1808447913964293,0.8053533745570967,3.9629742377575625,,,0.1426113621834981,0.1500499965833309,0.148010912315333,0.2057328067754367,0.3921935783603951,0.6279608185341541,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1.8304063131265025,,,,,,,,,,0.0,-3,0,-2175.8592857142858,4464.748629751362,-1505.4314285714288,2293.707647824563,-2170.8742857142856,3671.2314480051814,1788.9064285714287,3119.3045077495503,-5892.0,2946.0,0.0410061315213814,0.0410061315213814,0.1047469251458233,0.2794437709937343,-0.1176558937132961,0.1837811480750206,-0.0491977171877395,0.0729549854220893,0.0
Alok Industries Ltd,L17110DN1986PLC000334,2015,defaulter,Textiles,1,22130.72,348.76,3251.16,1461.21,209.28,5270.41,5415.82,13267.59,18879.27,13059.48,29352.44,634.75,8284.58,7531.75,4038.49,3374.0,-736.0,-3274.0,-636.0,1986.0,29.0,3809.2,5819.790000000001,23936.62,736.0,2638.0,1.4456371922924955,0.8112643076140857,0.0486045386186892,2.4497841508765066,0.4520097818103026,1.171643351911318,1.037783437296227,0.0157590896274499,0.2381490525387334,0.0118818060781318,0.0643965272110225,0.7539652580841661,2.9383237627377436,0.152457760072876,0.2543039089992983,0.1982727841365147,0.1375861768220972,0.1297745604794695,0.184510044139431,0.4449197409142136,0.3421494805957362,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1.7485232998792688,0.1111054210440436,-0.6209789601808381,0.0496043876821479,-0.0334098780578427,,0.0820122630427628,-0.2479077274596961,-0.0304388996032613,-0.0253239004465739,0.0,-1,0,-2175.8592857142858,4464.748629751362,-1505.4314285714288,2293.707647824563,-2170.8742857142856,3671.2314480051814,1788.9064285714287,3119.3045077495503,-5892.0,2946.0,0.0410061315213814,0.0410061315213814,0.1047469251458233,0.2794437709937343,-0.1176558937132961,0.1837811480750206,-0.0491977171877395,0.0729549854220893,0.0
Alok Industries Ltd,L17110DN1986PLC000334,2016,defaulter,Textiles,1,11749.0,-4206.0,2705.0,1016.0,-6360.0,-2639.0,6430.0,20102.0,,,32692.0,,,,5072.0,-2518.0,79.0,2365.0,-75.0,1986.0,30.0,-7861.0,,26262.0,79.0,-2597.0,,,,3.1262830482115085,0.6148904930869937,-2.906099815157116,-0.9308687615526802,-0.3579879138650098,-0.2246148608392203,-0.128655328520739,-0.6541213063763608,0.3593845589134956,,-0.2143161120095327,-0.1252611680429808,,0.1551449895999021,-0.2404563807659366,0.1966842040866267,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,-0.0700142398415842,-0.4691090032317069,-13.059869251060904,-1.5007200578323128,0.5151206812993165,-1.7462951985773565,,0.6764988973350019,-0.3737470034924597,-0.1405371345988708,0.0,0,1,-2175.8592857142858,4464.748629751362,-1505.4314285714288,2293.707647824563,-2170.8742857142856,3671.2314480051814,1788.9064285714287,3119.3045077495503,-5892.0,2946.0,0.0410061315213814,0.0410061315213814,0.1047469251458233,0.2794437709937343,-0.1176558937132961,0.1837811480750206,-0.0491977171877395,0.0729549854220893,0.0
Asian Star Company Ltd,L36910MH1995PLC086017,2015,defaulter,Gems & Jewellery,1,2274.0,43.0,24.0,15.0,61.0,100.0,501.0,839.0,,,1660.0,,,,485.0,22.0,-14.0,-10.0,-2.0,1995.0,20.0,128.0,,1159.0,14.0,8.0,,,,1.6746506986027945,0.505421686746988,5.333333333333333,0.9166666666666666,0.0189094107299912,0.0439753737906772,0.0259036144578313,0.0858283433133732,1.3698795180722891,,0.0096745822339489,0.0262216924910607,,0.2921686746987952,0.0771084337349397,0.3018072289156626,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,2.292735012526378,,,,,,,,,,0.0,-2,0,211.5,180.64883060789515,0.5,1.699673171197595,5.0,7.760297817881877,-30.0,25.13961017995307,53.5,44.4547210341289,,,-0.236245102387817,0.1973112269592438,-0.0012974936482733,0.0011176787863373,-0.0005644198415282,0.0013032819209845,0.0
