company_name,cohort,rows_with_missing,missing_cells,distinct_missing_fields,missing_columns
IVRCL Limited,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Indian Hotels Company Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Infosys Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
InterGlobe Aviation Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
JSW Steel Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
JVL Agro Industries,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Jaiprakash Associates Ltd,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Jaypee Infratech Ltd,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Jindal Steel & Power Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Jyoti Structures Ltd,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
KEC International Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Kalpataru Projects International Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Kwality Ltd,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Lanco Infratech Ltd,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Larsen & Toubro Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Lemon Tree Hotels Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Metalyst Forgings,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Monnet Ispat & Energy Ltd,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Moser Baer India,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
NCC Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Nakoda Limited,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Nestle India Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Oil and Natural Gas Corporation Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
PNC Infratech Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
PSL Limited,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Pratibha Industries,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Punj Lloyd Ltd,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
REI Agro,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Rajesh Exports Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Raymond Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Ruchi Soya Industries Ltd,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
S Kumars Nationwide,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
SKF India Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
SVOGL Oil Gas and Energy,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Schaeffler India Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Senco Gold Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
