company_name,cin,financial_year,cohort,sector,target_wilful_default,debt_to_equity,debt_to_assets,ebitda_margin,pat_margin,roa,roe,ebitda_to_interest,cfo_to_assets,cfo_to_debt,cfo_to_ebitda,retained_earnings_to_assets,net_cash_change_to_assets,log_total_assets,log_revenue,revenue_growth_yoy,debt_growth_yoy,cfo_growth_yoy,asset_growth_yoy
ABB India Limited,L32202KA1949PLC032923,2015,non_defaulter,Engineering / Manufacturing,0,0.1994680851063829,0.0809825887434201,0.0910766961651917,0.0368731563421828,0.04049129437171,0.0997340425531914,6.990566037735849,0.0515589148333108,0.6366666666666667,0.5155195681511471,0.4003239303549736,0.0468349304899446,8.910450756416656,9.004053937728395,,,,
ABB India Limited,L32202KA1949PLC032923,2016,non_defaulter,Engineering / Manufacturing,0,0.1825928180158247,0.0776096235933255,0.0962740106456838,0.0432770192085165,0.0483766653731729,0.1138161898965307,7.703703703703703,0.1116285086017332,1.4383333333333332,1.0372596153846154,0.4196093648945803,0.0795498641831587,8.952993499320474,9.064389316491878,0.0621927236971484,0.0,1.2591623036649215,0.0434606559589688
ABB India Limited,L32202KA1949PLC032923,2017,non_defaulter,Engineering / Manufacturing,0,0.1685611311339063,0.0684068406840684,0.1133902198884148,0.0689202494256645,0.0472547254725472,0.1164402550596063,11.14516129032258,0.0891089108910891,1.3026315789473684,1.14616497829233,0.4011026102610261,0.0339783978397839,9.092457331319466,8.715059959545654,-0.2948391576024068,0.0133333333333333,-0.082271147161066,0.1496572241624628
ABG Shipyard Ltd,L61200GJ1985PLC007730,2014,defaulter,Shipbuilding,1,3.560630725991897,0.4001964252894688,0.0030908113039275,-0.1356825314697693,-0.016352364323785,-0.1454903821586305,0.0074557009836927,-0.019074749914669,-0.0476634690099292,-51.20704845814978,0.1048536902355134,0.0128816919158768,9.408194012352874,7.292248676682692,,,,
ABG Shipyard Ltd,L61200GJ1985PLC007730,2015,defaulter,Shipbuilding,1,8.241900109660053,0.5353443537988715,-0.7324553444118942,-2.327275555440334,-0.0726612538335954,-1.1186571627953346,-0.3510648872983921,-0.071702905559796,-0.133937913141295,3.1354546419849223,0.0366689627094059,-0.0116685377661257,9.421782932926712,5.9551376428479665,-0.7373967743911987,0.3560060112392954,-2.8104783207157604,0.0136816695985506
ABG Shipyard Ltd,L61200GJ1985PLC007730,2016,defaulter,Shipbuilding,1,,0.7870963961324348,-81.48814749780509,-108.41995902838748,-0.3339908494669701,,-3.248573728605929,-0.061378890666907,-0.0779814149429539,0.2445114834168328,-0.2926917442358403,0.0017435596925781,9.314001945248354,3.5313480661272005,-0.9114147201410312,0.320036710231087,0.231447407039487,-0.1021757905361489
Alok Industries Ltd,L17110DN1986PLC000334,2013,defaulter,Textiles,1,2.6976918783362027,0.5550037219454069,0.2521032747172748,0.0461979892307113,0.0372057065247057,0.1808447913964293,2.2211787708014477,,,,0.1500499965833309,,10.115840696231476,9.899366572951823,,,,
Alok Industries Ltd,L17110DN1986PLC000334,2015,defaulter,Textiles,1,2.4497841508765066,0.4520097818103026,0.2381490525387334,0.0157590896274499,0.0118818060781318,0.0643965272110225,1.621086012377121,0.1149478544202798,0.2543039089992983,0.6401778988731427,0.1375861768220972,-0.0216677046269407,10.287130956383375,10.004721967536176,0.1111054210440436,-0.0334098780578427,,0.1868351899930817
Alok Industries Ltd,L17110DN1986PLC000334,2016,defaulter,Textiles,1,3.1262830482115085,0.6148904930869937,-0.2246148608392203,-0.3579879138650098,-0.128655328520739,-0.6541213063763608,-0.9756007393715342,-0.0770219013826012,-0.1252611680429808,0.9541492989768852,0.1551449895999021,-0.0022941392389575,10.39488567863602,9.371523409567573,-0.4691090032317069,0.5151206812993165,-1.7462951985773565,0.1137745277735003
Asian Star Company Ltd,L36910MH1995PLC086017,2015,defaulter,Gems & Jewellery,1,1.6746506986027945,0.505421686746988,0.0439753737906772,0.0189094107299912,0.0259036144578313,0.0858283433133732,4.166666666666667,0.0132530120481927,0.0262216924910607,0.22,0.2921686746987952,-0.0012048192771084,7.414572881350589,7.729295674310482,,,,
Asian Star Company Ltd,L36910MH1995PLC086017,2016,defaulter,Gems & Jewellery,1,1.350328947368421,0.4670079635949943,0.0383480825958702,0.0168563000421407,0.0227531285551763,0.0657894736842105,4.333333333333333,0.0329920364050056,0.0706455542021924,0.6373626373626373,0.3367463026166097,0.0062571103526734,7.471932078245122,7.771910256435763,0.0435356200527704,-0.0214541120381406,1.6363636363636365,0.0590361445783132
