company_name,cin,financial_year,cohort,sector,target_wilful_default,debt_to_assets,ebitda_margin,pat_margin,roa,retained_earnings_to_assets,cfo_to_assets,cfo_to_ebitda,net_cash_change_to_assets,log_total_assets,log_revenue
ABB India Limited,L32202KA1949PLC032923,2015,non_defaulter,Engineering / Manufacturing,0,0.0809825887434201,0.0910766961651917,0.0368731563421828,0.04049129437171,0.4003239303549736,0.0515589148333108,0.5155195681511471,0.0468349304899446,8.910450756416656,9.004053937728395
ABB India Limited,L32202KA1949PLC032923,2016,non_defaulter,Engineering / Manufacturing,0,0.0776096235933255,0.0962740106456838,0.0432770192085165,0.0483766653731729,0.4196093648945803,0.1116285086017332,1.0372596153846154,0.0795498641831587,8.952993499320474,9.064389316491878
ABB India Limited,L32202KA1949PLC032923,2017,non_defaulter,Engineering / Manufacturing,0,0.0684068406840684,0.1133902198884148,0.0689202494256645,0.0472547254725472,0.4011026102610261,0.0891089108910891,1.14616497829233,0.0339783978397839,9.092457331319466,8.715059959545654
ABG Shipyard Ltd,L61200GJ1985PLC007730,2014,defaulter,Shipbuilding,1,0.4001964252894688,0.0030908113039275,-0.1356825314697693,-0.016352364323785,0.1048536902355134,-0.019074749914669,-51.20704845814978,0.0128816919158768,9.408194012352874,7.292248676682692
ABG Shipyard Ltd,L61200GJ1985PLC007730,2015,defaulter,Shipbuilding,1,0.5353443537988715,-0.7324553444118942,-2.327275555440334,-0.0726612538335954,0.0366689627094059,-0.071702905559796,3.1354546419849223,-0.0116685377661257,9.421782932926712,5.9551376428479665
ABG Shipyard Ltd,L61200GJ1985PLC007730,2016,defaulter,Shipbuilding,1,0.7870963961324348,-81.48814749780509,-108.41995902838748,-0.3339908494669701,-0.2926917442358403,-0.061378890666907,0.2445114834168328,0.0017435596925781,9.314001945248354,3.5313480661272005
Alok Industries Ltd,L17110DN1986PLC000334,2013,defaulter,Textiles,1,0.5550037219454069,0.2521032747172748,0.0461979892307113,0.0372057065247057,0.1500499965833309,,,,10.115840696231476,9.899366572951823
Alok Industries Ltd,L17110DN1986PLC000334,2015,defaulter,Textiles,1,0.4520097818103026,0.2381490525387334,0.0157590896274499,0.0118818060781318,0.1375861768220972,0.1149478544202798,0.6401778988731427,-0.0216677046269407,10.287130956383375,10.004721967536176
Alok Industries Ltd,L17110DN1986PLC000334,2016,defaulter,Textiles,1,0.6148904930869937,-0.2246148608392203,-0.3579879138650098,-0.128655328520739,0.1551449895999021,-0.0770219013826012,0.9541492989768852,-0.0022941392389575,10.39488567863602,9.371523409567573
Asian Star Company Ltd,L36910MH1995PLC086017,2015,defaulter,Gems & Jewellery,1,0.505421686746988,0.0439753737906772,0.0189094107299912,0.0259036144578313,0.2921686746987952,0.0132530120481927,0.22,-0.0012048192771084,7.414572881350589,7.729295674310482
Asian Star Company Ltd,L36910MH1995PLC086017,2016,defaulter,Gems & Jewellery,1,0.4670079635949943,0.0383480825958702,0.0168563000421407,0.0227531285551763,0.3367463026166097,0.0329920364050056,0.6373626373626373,0.0062571103526734,7.471932078245122,7.771910256435763
Asian Star Company Ltd,L36910MH1995PLC086017,2017,defaulter,Gems & Jewellery,1,0.4386261261261261,0.0407860585836114,0.0163144234334445,0.0247747747747747,0.3558558558558558,0.0726351351351351,1.1727272727272726,0.0118243243243243,7.4821189235521155,7.89989532313973
Bajaj Finance Limited,L65910MH1987PLC042961,2021,non_defaulter,NBFC / Leasing,0,0.7220936623181279,0.5614564303012278,0.1680757955559332,0.0286077926585866,0.2590176737728153,0.0317173353388678,0.3318955732122588,0.0050403517398976,11.837064820432346,10.066328930041957
Bajaj Finance Limited,L65910MH1987PLC042961,2022,non_defaulter,NBFC / Leasing,0,0.7323068499020933,0.5962614810562572,0.2278272101033295,0.0377937946755387,0.2495878393257825,-0.1419856324062446,-1.4354654311330406,0.0089336198122809,12.031820443742175,10.23537787965223
Bajaj Finance Limited,L65910MH1987PLC042961,2023,non_defaulter,NBFC / Leasing,0,0.7467267059231035,0.6655643986100213,0.2883645331240892,0.0475233806719778,0.2372566678212677,-0.1260916753261748,-1.149557894736842,-0.0077681561020667,12.285461293199246,10.482457688033676
Bharat Heavy Electricals Limited,L74899DL1964GOI004281,2015,non_defaulter,Engineering / Manufacturing,0,0.0017200163255786,0.1077253638050591,0.0461959175700752,0.0206839251355606,0.4896944784560667,0.0112967173925718,0.2342097310365669,-0.0300274036499329,11.136106121051972,10.332571526242926
Bharat Heavy Electricals Limited,L74899DL1964GOI004281,2016,non_defaulter,Engineering / Manufacturing,0,0.0030877879515125,0.005143911728904,-0.0278792162406251,-0.0108531160671976,0.484446414650178,0.0053042694018557,2.648854961832061,0.0041883856372002,11.08856801513024,10.145138775406078
