company_name,cin,financial_year,cohort,sector,revenue,pat,interest_expense,depreciation,tax_expense,ebitda,total_equity,total_borrowings,current_assets,current_liabilities,total_assets,cash_and_equivalents,inventory,receivables,retained_earnings,cfo,cfi,cff,net_cash_change,capex,opinion_type,going_concern_uncertainty,emphasis_of_matter,fraud_reported,auditor_name,related_party_transactions_amount,contingent_liabilities_amount,rpt_count,pending_legal_cases_count,promoter_holding_pct,target_wilful_default,incorporation_year,company_age,ebit,working_capital,total_liabilities_proxy,capex_effective,free_cash_flow,current_ratio,quick_ratio,cash_ratio,debt_to_equity,debt_to_assets,interest_coverage,debt_service_coverage_proxy,net_profit_margin,ebitda_margin,roa,roe,asset_turnover,receivables_turnover,cfo_margin,cash_flow_to_debt,working_capital_to_assets,retained_earnings_to_assets,ebit_to_assets,equity_ratio,current_liabilities_to_assets,rpt_to_revenue_ratio,contingent_to_networth_ratio,auditor_qualification_flag,opinion_present_flag,auditor_name_present_flag,going_concern_uncertainty_unknown,emphasis_of_matter_unknown,fraud_reported_unknown,going_concern_uncertainty_flag,emphasis_of_matter_flag,fraud_reported_flag,related_party_unknown,related_party_flag,contingent_liability_unknown,contingent_liability_flag,current_assets_missing,current_liabilities_missing,receivables_missing,capex_missing,opinion_type_missing,auditor_name_missing,contingent_liabilities_amount_missing,promoter_holding_pct_missing,altman_z_proxy,revenue_yoy,pat_yoy,ebitda_yoy,total_borrowings_yoy,cfo_yoy,current_ratio_yoy,debt_to_equity_yoy,net_profit_margin_yoy,roa_yoy,promoter_holding_pct_yoy,auditor_changed_yoy,relative_year_from_latest,is_latest_observation,revenue_trend_3y,revenue_volatility_3y,pat_trend_3y,pat_volatility_3y,ebitda_trend_3y,ebitda_volatility_3y,total_borrowings_trend_3y,total_borrowings_volatility_3y,cfo_trend_3y,cfo_volatility_3y,current_ratio_trend_3y,current_ratio_volatility_3y,debt_to_equity_trend_3y,debt_to_equity_volatility_3y,net_profit_margin_trend_3y,net_profit_margin_volatility_3y,roa_trend_3y,roa_volatility_3y,promoter_holding_pct_trend_3y,promoter_holding_pct_volatility_3y,auditor_changed_3y
ABB India Limited,L32202KA1949PLC032923,2015,non_defaulter,Engineering / Manufacturing,8136.0,300.0,106.0,160.0,475.0,741.0,3008.0,600.0,,,7409.0,,,,2966.0,382.0,-76.0,42.0,347.0,,,,,,,,,,,,0,1949.0,66.0,881.0,,4401.0,76.0,306.0,,,,0.19946808510638298,0.08098258874342017,8.31132075471698,3.6037735849056602,0.03687315634218289,0.09107669616519173,0.04049129437171008,0.09973404255319149,1.0981239033607775,,0.04695181907571288,0.6366666666666667,,0.40032393035497366,0.11890943447158861,0.4059927115670131,,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,2.4610671558375685,,,,,,,,,,,0.0,-2,0,-1021.0,1101.4184793559016,60.0,49.43233309844433,-25.0,58.368560791652975,4.0,3.7712361663282534,205.0,212.00157232121336,,,-0.015453476986238335,0.01263549972624163,0.01602354654174085,0.013846784186155934,0.003381715550418586,0.0034830035765301905,,,0.0
ABB India Limited,L32202KA1949PLC032923,2016,non_defaulter,Engineering / Manufacturing,8642.0,374.0,108.0,151.0,573.0,832.0,3286.0,600.0,,,7731.0,,,,3244.0,863.0,-68.0,-179.0,615.0,,,,,,,,,,,,0,1949.0,67.0,1055.0,,4445.0,68.0,795.0,,,,0.18259281801582472,0.07760962359332557,9.768518518518519,7.9907407407407405,0.043277019208516544,0.09627401064568387,0.04837666537317294,0.11381618989653074,1.1178372784891992,,0.09986114325387642,1.4383333333333332,,0.4196093648945803,0.13646358815159745,0.42504203854611305,,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,2.599174785922423,0.062192723697148476,0.24666666666666667,0.12280701754385964,0.0,1.2591623036649215,,-0.016875267090558255,0.006403862866333654,0.00788537100146286,,0.0,-1,0,-1021.0,1101.4184793559016,60.0,49.43233309844433,-25.0,58.368560791652975,4.0,3.7712361663282534,205.0,212.00157232121336,,,-0.015453476986238335,0.01263549972624163,0.01602354654174085,0.013846784186155934,0.003381715550418586,0.0034830035765301905,,,0.0
ABB India Limited,L32202KA1949PLC032923,2017,non_defaulter,Engineering / Manufacturing,6094.0,420.0,62.0,101.0,528.0,691.0,3607.0,608.0,,,8888.0,,,,3565.0,792.0,-318.0,-171.0,302.0,,,,,,,,,,,,0,1949.0,68.0,1010.0,,5281.0,318.0,474.0,,,,0.1685611311339063,0.06840684068406841,16.29032258064516,12.774193548387096,0.06892024942566459,0.11339021988841483,0.047254725472547256,0.11644025505960633,0.6856435643564357,,0.1299638989169675,1.3026315789473684,,0.4011026102610261,0.11363636363636363,0.4058280828082808,,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,2.0319959670649888,-0.29483915760240686,0.12299465240641712,-0.16947115384615385,0.013333333333333334,-0.08227114716106605,,-0.014031686881918415,0.025643230217148046,-0.0011219399006256875,,0.0,0,1,-1021.0,1101.4184793559016,60.0,49.43233309844433,-25.0,58.368560791652975,4.0,3.7712361663282534,205.0,212.00157232121336,,,-0.015453476986238335,0.01263549972624163,0.01602354654174085,0.013846784186155934,0.003381715550418586,0.0034830035765301905,,,0.0
ABG Shipyard Ltd,L61200GJ1985PLC007730,2014,defaulter,Shipbuilding,1468.87,-199.3,608.93,91.78,-96.87,4.54,1369.85,4877.53,8677.67,7482.45,12187.84,182.55,4351.24,129.93,1277.94,-232.48,-330.64,720.12,157.0,,unqualified,0.0,0.0,0.0,Nisar & Kumar,,1550.64,,,67.92,1,1985.0,29.0,312.75999999999993,1195.2200000000003,10817.99,330.64,-563.12,1.1597364499595721,0.5782103455419014,0.024397089188701565,3.560630725991897,0.4001964252894688,0.5136222554316587,-0.38178444156142743,-0.1356825314697693,0.003090811303927509,-0.01635236432378502,-0.14549038215863053,0.12051930448709533,11.305087354729467,-0.15827132421521306,-0.0476634690099292,0.09806659752671518,0.10485369023551343,0.025661643080316113,0.11239481319085251,0.6139274883818625,,1.1319779537905612,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.5456540311048945,,,,,,,,,,,0.0,-2,0,-717.3499999999999,610.569022688399,-1752.7050000000002,1514.9245294073235,-1394.495,1252.574153555611,1926.5700000000002,1575.5894215816506,-224.175,272.83703882639463,-0.12872755147781662,0.15364956885637904,4.681269383668155,2.3406346918340777,-54.14213824845885,50.53705472547907,-0.15881924257159258,0.13838675909517284,-17.330000000000002,14.653578250910446,0.0
ABG Shipyard Ltd,L61200GJ1985PLC007730,2015,defaulter,Shipbuilding,385.73,-897.7,804.78,99.18,-288.19,-282.53,802.48,6613.96,9097.64,7170.51,12354.59,50.85,4950.41,79.53,453.03,-885.86,-445.81,1187.51,-144.16,,unqualified,0.0,0.0,0.0,Nisar & Kumar,,2001.65,,,58.67,1,1985.0,30.0,-381.11000000000007,1927.1299999999992,11552.11,445.81,-1331.67,1.2687577313189715,0.5783730864331825,0.007091545789630027,8.241900109660053,0.5353443537988715,-0.4735579910037527,-1.1007480305176571,-2.327275555440334,-0.7324553444118942,-0.07266125383359545,-1.1186571627953346,0.031221594565258744,4.850119451779203,-2.2965805096829386,-0.13393791314129508,0.15598494162898155,0.03666896270940598,-0.03084764447869173,0.06495399685461031,0.5803923885778484,,2.4943300767620378,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.20962250405477945,-0.7373967743911987,-3.504264927245359,-63.231277533039645,0.3560060112392954,-2.8104783207157604,0.10902128135939937,4.681269383668155,-2.1915930239705648,-0.05630888950981043,-9.25,0.0,-1,0,-717.3499999999999,610.569022688399,-1752.7050000000002,1514.9245294073235,-1394.495,1252.574153555611,1926.5700000000002,1575.5894215816506,-224.175,272.83703882639463,-0.12872755147781662,0.15364956885637904,4.681269383668155,2.3406346918340777,-54.14213824845885,50.53705472547907,-0.15881924257159258,0.13838675909517284,-17.330000000000002,14.653578250910446,0.0
ABG Shipyard Ltd,L61200GJ1985PLC007730,2016,defaulter,Shipbuilding,34.17,-3704.71,857.13,81.51,-19.38,-2784.45,-2822.21,8730.67,8019.63,8888.17,11092.25,94.72,5007.53,81.99,-3246.61,-680.83,-374.27,1074.45,19.34,,unqualified,0.0,0.0,0.0,Nisar & Kumar,,1948.64,,,33.26,1,1985.0,31.0,-2866.96,-868.54,13914.46,374.27,-1055.1,0.9022813470039389,0.33888865762018505,0.010656861873704036,,0.7870963961324348,-3.344836839219255,-0.7943135813703873,-108.41995902838747,-81.48814749780509,-0.33399084946697016,,0.0030805291983141384,0.4167581412367362,-19.924787825577994,-0.07798141494295398,-0.07830151682481011,-0.2926917442358403,-0.2584651445829295,-0.2544307962766797,0.8012954991097387,,,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,-1.4752801261807467,-0.9114147201410313,-3.126890943522335,-8.855413584398118,0.320036710231087,0.23144740703948702,-0.3664763843150326,,-106.09268347294713,-0.2613295956333747,-25.410000000000004,0.0,0,1,-717.3499999999999,610.569022688399,-1752.7050000000002,1514.9245294073235,-1394.495,1252.574153555611,1926.5700000000002,1575.5894215816506,-224.175,272.83703882639463,-0.12872755147781662,0.15364956885637904,4.681269383668155,2.3406346918340777,-54.14213824845885,50.53705472547907,-0.15881924257159258,0.13838675909517284,-17.330000000000002,14.653578250910446,0.0
Alok Industries Ltd,L17110DN1986PLC000334,2013,defaulter,Textiles,19917.75,920.16,2260.66,1360.77,479.74,5021.33,5088.12,13726.18,13226.63,9699.61,24731.69,882.65,5726.47,5025.96,3710.99,,,,,,,,,,,,3195.14,,,,1,1986.0,27.0,3660.5599999999995,3527.0199999999986,19643.57,,,1.3636249292497327,0.7732434603040739,0.09099850406356544,2.6976918783362027,0.5550037219454069,1.61924393761114,,0.0461979892307113,0.2521032747172748,0.037205706524705756,0.18084479139642934,0.8053533745570967,3.9629742377575625,,,0.14261136218349812,0.15004999658333093,0.14801091231533306,0.2057328067754367,0.39219357836039515,,0.6279608185341541,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1.8304063131265023,,,,,,,,,,,0.0,-3,0,-2175.8592857142858,4464.748629751362,-1505.4314285714288,2293.707647824563,-2170.8742857142856,3671.2314480051814,1788.9064285714287,3119.3045077495503,-5892.0,2946.0,0.04100613152138144,0.04100613152138144,0.10474692514582336,0.2794437709937343,-0.11765589371329614,0.1837811480750206,-0.049197717187739506,0.07295498542208932,,,0.0
Alok Industries Ltd,L17110DN1986PLC000334,2015,defaulter,Textiles,22130.72,348.76,3251.16,1461.21,209.28,5270.41,5415.82,13267.59,18879.27,13059.48,29352.44,634.75,8284.58,7531.75,4038.49,3374.0,-736.0,-3274.0,-636.0,,,,,,,,1853.02,,,,1,1986.0,29.0,3809.2000000000003,5819.790000000001,23936.62,736.0,2638.0,1.4456371922924955,0.8112643076140857,0.04860453861868926,2.4497841508765066,0.45200978181030266,1.1716433519113179,1.0377834372962267,0.015759089627449988,0.23814905253873347,0.011881806078131836,0.06439652721102253,0.7539652580841661,2.9383237627377436,0.15245776007287606,0.2543039089992983,0.19827278413651475,0.13758617682209723,0.12977456047946953,0.184510044139431,0.4449197409142136,,0.3421494805957362,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1.7485232998792688,0.11110542104404368,-0.6209789601808381,0.04960438768214794,-0.03340987805784276,,0.08201226304276288,-0.24790772745969614,-0.03043889960326131,-0.02532390044657392,,0.0,-1,0,-2175.8592857142858,4464.748629751362,-1505.4314285714288,2293.707647824563,-2170.8742857142856,3671.2314480051814,1788.9064285714287,3119.3045077495503,-5892.0,2946.0,0.04100613152138144,0.04100613152138144,0.10474692514582336,0.2794437709937343,-0.11765589371329614,0.1837811480750206,-0.049197717187739506,0.07295498542208932,,,0.0
Alok Industries Ltd,L17110DN1986PLC000334,2016,defaulter,Textiles,11749.0,-4206.0,2705.0,1016.0,-6360.0,-2639.0,6430.0,20102.0,,,32692.0,,,,5072.0,-2518.0,79.0,2365.0,-75.0,,,,,,,,,,,,1,1986.0,30.0,-7861.0,,26262.0,79.0,-2597.0,,,,3.1262830482115085,0.6148904930869937,-2.9060998151571162,-0.9308687615526802,-0.3579879138650098,-0.22461486083922036,-0.12865532852073902,-0.6541213063763608,0.35938455891349563,,-0.21431611200953274,-0.1252611680429808,,0.1551449895999021,-0.24045638076593662,0.1966842040866267,,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,-0.07001423984158428,-0.4691090032317069,-13.059869251060903,-1.5007200578323128,0.5151206812993165,-1.7462951985773563,,0.6764988973350019,-0.37374700349245976,-0.14053713459887085,,0.0,0,1,-2175.8592857142858,4464.748629751362,-1505.4314285714288,2293.707647824563,-2170.8742857142856,3671.2314480051814,1788.9064285714287,3119.3045077495503,-5892.0,2946.0,0.04100613152138144,0.04100613152138144,0.10474692514582336,0.2794437709937343,-0.11765589371329614,0.1837811480750206,-0.049197717187739506,0.07295498542208932,,,0.0
Asian Star Company Ltd,L36910MH1995PLC086017,2015,defaulter,Gems & Jewellery,2274.0,43.0,24.0,15.0,61.0,100.0,501.0,839.0,,,1660.0,,,,485.0,22.0,-14.0,-10.0,-2.0,,,,,,,,,,,,1,1995.0,20.0,128.0,,1159.0,14.0,8.0,,,,1.6746506986027945,0.505421686746988,5.333333333333333,0.9166666666666666,0.018909410729991204,0.04397537379067722,0.025903614457831327,0.08582834331337326,1.3698795180722891,,0.009674582233948988,0.026221692491060787,,0.2921686746987952,0.07710843373493977,0.30180722891566264,,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,2.292735012526378,,,,,,,,,,,0.0,-2,0,211.5,180.64883060789515,0.5,1.699673171197595,5.0,7.760297817881877,-30.0,25.13961017995307,53.5,44.4547210341289,,,-0.23624510238781704,0.19731122695924386,-0.001297493648273319,0.0011176787863373245,-0.0005644198415282759,0.0013032819209845966,,,0.0
